software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618617784,789,809,1
1764618617791,797,811,1
1764618617800,804,815,1
1764618617808,813,819,1
1764618617815,820,820,1
1764618617823,832,822,1
1764618617830,844,826,1
1764618617839,854,828,1
1764618617848,866,829,1
1764618617857,880,832,1
1764618617863,893,834,1
1764618617873,908,836,1
1764618617880,922,838,1
1764618617887,935,840,1
1764618617900,945,841,1
1764618617903,955,842,1
1764618617912,966,842,1
1764618617919,978,846,1
1764618617929,985,848,1
1764618617935,996,848,1
1764618617943,1008,848,1
1764618617954,1018,848,1
1764618617960,1028,848,1
1764618617965,1040,848,1
1764618617975,1051,848,1
1764618617982,1063,848,1
1764618617992,1075,848,1
1764618618000,1088,848,1
1764618618008,1100,848,0
1764618618016,1110,848,0
1764618618024,1120,848,0
1764618618032,1133,846,0
1764618618040,1143,846,0
1764618618048,1152,843,0
1764618618056,1162,842,0
1764618618064,1169,840,0
1764618618072,1177,837,0
1764618618080,1182,836,0
1764618618088,1186,833,0
1764618618100,1194,829,0
1764618618103,1198,826,0
1764618618112,1203,821,0
1764618618119,1212,816,0
1764618618129,1218,810,0
1764618618135,1224,807,0
1764618618144,1231,799,0
1764618618150,1236,791,0
1764618618160,1241,784,0
1764618618166,1245,778,0
1764618618175,1250,770,0
1764618618183,1255,758,0
1764618618191,1262,751,0
1764618618200,1267,745,0
1764618618208,1275,734,0
1764618618216,1281,728,0
1764618618224,1286,722,0
1764618618232,1292,717,0
1764618618240,1293,714,0
1764618618249,1298,708,0
1764618618256,1303,701,0
1764618618266,1306,697,0
1764618618272,1310,688,0
1764618618280,1312,680,0
1764618618288,1316,673,0
1764618618298,1319,663,0
1764618618304,1321,654,0
1764618618313,1322,642,0
1764618618320,1325,633,0
1764618618329,1329,621,0
1764618618334,1334,611,0
1764618618343,1337,599,0
1764618618352,1338,585,0
1764618618360,1341,572,0
1764618618367,1342,558,0
1764618618376,1344,547,0
1764618618384,1345,533,0
1764618618392,1345,515,0
1764618618400,1348,500,0
1764618618408,1348,485,0
1764618618416,1348,465,0
1764618618424,1348,447,0
1764618618432,1348,428,0
1764618618440,1348,408,0
1764618618449,1348,390,0
1764618618455,1348,367,0
1764618618463,1348,351,0
1764618618472,1347,333,0
1764618618482,1345,317,0
1764618618487,1341,304,0
1764618618498,1335,290,0
1764618618502,1331,279,0
1764618618513,1326,267,0
1764618618518,1320,258,0
1764618618529,1315,248,0
1764618618534,1310,242,0
1764618618543,1303,234,0
1764618618550,1296,228,0
1764618618559,1287,218,0
1764618618568,1280,213,0
1764618618576,1272,205,0
1764618618584,1264,202,0
1764618618592,1255,197,0
1764618618600,1243,191,0
1764618618608,1236,189,0
1764618618616,1222,183,0
1764618618624,1207,178,0
1764618618634,1193,175,0
1764618618639,1178,171,1
1764618618647,1166,165,1
1764618618656,1155,163,1
1764618618666,1143,159,1
1764618618671,1131,156,1
1764618618682,1119,152,1
1764618618688,1107,149,1
1764618618698,1096,148,1
1764618618703,1080,145,1
1764618618716,1062,144,1
1764618618720,1045,141,1
1764618618730,1024,138,1
